Street Address,Postal City,County,Price,Beds Total,Sq Ft Total,Full Bath,Half Bath,Lot Size,Age,State,Lat,Lon,Tract,Total Population,Median Income,Walk Score,Bike Score,Comps,School Rating
1411 Santa Paula Avenue,San Jose,Santa Clara,1330000,2,893,1,0,5357,74,CA,37.3600768,-121.9138651,505100,4093,92375,50,67,994,2.7
3212 Brownhill Court,San Jose,Santa Clara,1925000,4,1604,2,0,8065,38,CA,37.3143234,-121.785855,503329,3855,204073,48,73,994,7.7
483 Coe Avenue,San Jose,Santa Clara,1250000,2,960,1,0,5400,93,CA,37.3154229,-121.8952377,501800,4934,118203,60,92,996,4.5
1161 Carrie Lee Way,San Jose,Santa Clara,1760000,3,1650,2,0,8157,65,CA,37.2701012,-121.8800756,503003,5259,153438,52,56,998,5.4
3989 Vistamont Drive,San Jose,Santa Clara,1750000,4,1700,2,0,6609,55,CA,37.2664453,-121.8839886,503003,5259,153438,32,59,1000,4.8
19000 Buckeye Road,Los Gatos,Santa Clara,749000,1,512,1,0,52708,53,CA,37.1661732,-121.9874549,511800,4360,173529,0,9,1000,8.5
895 Coventry Circle,Milpitas,Santa Clara,1550000,3,1328,2,1,3522,34,CA,37.4439466,-121.9045296,504414,4547,147717,56,73,1001,7
516 N Baywood Avenue,San Jose,Santa Clara,1850000,5,2097,2,0,5186,72,CA,37.3273464,-121.9448891,505800,4457,126250,72,83,1001,5.3
6698 Mount Hope Drive,San Jose,Santa Clara,2036000,3,2113,3,0,8565,55,CA,37.2169783,-121.8549935,511907,4303,201558,53,63,1001,7.3
5999 Starwood Drive,San Jose,Santa Clara,2680888,4,2705,2,1,7840,36,CA,37.2342112,-121.8766516,511914,6393,214063,48,70,1003,6
546 Cypress Avenue,San Jose,Santa Clara,1335000,3,1400,2,0,8175,63,CA,37.317163,-121.959509,506301,5342,99476,17,65,1003,4.8
4163 Casa Grande Court,San Jose,Santa Clara,2240000,5,2494,2,1,10393,56,CA,37.2638307,-121.8857449,503003,5259,153438,46,62,1005,4.8
1614 Rocky Mountain Avenue,Milpitas,Santa Clara,2250000,4,2029,2,1,9558,54,CA,37.4200588,-121.8714487,504416,3827,150047,63,68,1006,5.8
5177 Apennines Circle,San Jose,Santa Clara,2300000,4,2043,2,0,7444,26,CA,37.2847269,-121.7711675,503339,4011,245781,1,30,1008,8.2
1839 Redwood Creek,San Jose,Santa Clara,2340000,4,2393,4,0,4753,9,CA,37.2216372,-121.9067968,511918,3200,236964,9,16,1009,8.8
783 Finchwood Way,San Jose,Santa Clara,2645000,5,2760,3,0,8000,42,CA,37.2062438,-121.8298167,511912,5749,247438,17,54,1010,7.5
1539 Iris Court,San Jose,Santa Clara,2800000,4,2351,3,1,4547,6,CA,37.3008312,-121.8975051,502400,7048,132398,79,77,1011,6.2
1373 Santa Paula Avenue,San Jose,Santa Clara,1388000,4,1775,2,0,5371,74,CA,37.3593112,-121.9132872,505100,4093,92375,29,56,1014,2.7
3308 Whitman Way,San Jose,Santa Clara,1450000,3,1383,2,0,6055,0,CA,37.3949226,-121.8440516,504308,4637,144107,49,75,1014,4.8
4469 Cheeney Street,Santa Clara,Santa Clara,2000000,3,2017,2,0,6250,8,CA,37.3961961,-121.9620862,505010,4400,167786,47,75,1014,5.8
3527 Rowley Drive,San Jose,Santa Clara,1500000,3,1577,2,0,6729,52,CA,37.4184855,-121.8617982,504411,6097,147917,38,56,1014,7.2
2277 Shibley Avenue,San Jose,Santa Clara,3200000,4,3147,4,0,7965,8,CA,37.2855547,-121.8965937,503001,4297,152500,39,72,1014,6.6
1661 Sweetbriar Drive,San Jose,Santa Clara,2235000,4,2379,3,0,7341,57,CA,37.2835776,-121.9075081,502903,5220,184615,23,47,1015,6.3
5891 Pontius Court,San Jose,Santa Clara,1600000,4,1348,2,0,6000,51,CA,37.2423748,-121.8206298,512037,3099,144957,29,51,1018,6.5
317 Avenida Pinos ,San Jose,Santa Clara,1400000,3,1134,2,0,6540,51,CA,37.2580366,-121.8316407,512026,3865,102656,54,67,1018,5.8
1388 Bryan Avenue,San Jose,Santa Clara,1800000,4,1750,2,1,6186,56,CA,37.266389,-121.8857449,503003,5259,153438,38,62,1019,4.8
2345 Ashglen Way,San Jose,Santa Clara,1290000,4,1234,2,0,7821,45,CA,37.3709893,-121.8537036,503708,3024,103173,53,68,1019,5
1234 Naglee Avenue,San Jose,Santa Clara,2400000,3,1776,1,0,12368,90,CA,37.3359202,-121.9211107,500600,5713,132256,61,81,1019,4.5
334 Rutland Avenue,San Jose,Santa Clara,890000,2,1069,1,0,3873,83,CA,37.3226586,-121.9256001,502001,5089,102198,85,73,1021,4.8
645 Shawnee Lane,San Jose,Santa Clara,1380000,4,1345,2,0,5959,56,CA,37.2408629,-121.837268,512045,5217,155591,63,66,1022,6.6
537 Coakley Drive,San Jose,Santa Clara,1500000,3,1643,2,0,6100,65,CA,37.3174873,-121.9635525,506301,5342,99476,24,58,1022,4.8
618 Azule Avenue,San Jose,Santa Clara,1700000,3,1600,2,0,6660,56,CA,37.2413229,-121.8360447,512045,5217,155591,62,68,1022,6.6
1511 Shaw Drive,San Jose,Santa Clara,2120000,4,1885,3,0,7266,63,CA,37.2698514,-121.8955267,502907,3960,150250,57,56,1024,5.3
1304 Dale Avenue,San Jose,Santa Clara,3900000,4,3145,4,0,8123,2,CA,37.2957261,-121.9018621,502400,7048,132398,42,65,1024,6.3
6693 Mount Forest Drive,San Jose,Santa Clara,1999990,4,1999,2,0,8070,55,CA,37.2179635,-121.8561054,511907,4303,201558,57,67,1025,7.3
8495 Pharmer Road,Gilroy,Santa Clara,2000000,3,1949,2,0,185130,102,CA,37.0232706,-121.653861,512200,3837,141538,3,1,1026,5.2
713 Dorothy Avenue,San Jose,Santa Clara,1490000,3,1228,2,0,5096,29,CA,37.3102623,-121.8916363,502400,7048,132398,64,95,1028,4.5
1625 Cherry Grove Drive,San Jose,Santa Clara,1750000,3,1865,2,0,7241,65,CA,37.2928818,-121.9142207,502601,3281,122405,79,56,1030,5.3
481 ROSEWOOD Avenue,San Jose,Santa Clara,1950000,3,1786,2,1,8024,75,CA,37.319221,-121.9546656,506301,5342,99476,54,75,1030,5
7055 Glenview Drive,San Jose,Santa Clara,3075000,4,2875,3,1,10459,23,CA,37.2056921,-121.8550824,511917,4163,191091,12,26,1030,7.5
1458 Inwood Court,Campbell,Santa Clara,2486000,5,2733,3,0,8522,60,CA,37.2745189,-121.9759487,506701,4177,164115,12,53,1031,6.8
21764 Congress Hall Lane,Saratoga,Santa Clara,6400000,5,6177,4,0,140263,34,CA,37.2530292,-122.0538255,507600,5888,244167,2,7,1036,9.3
6813 Moselle Drive,San Jose,Santa Clara,999000,2,816,1,0,6361,52,CA,37.2274459,-121.7845643,512032,2899,118401,20,43,1037,6.2
1643 Shasta Avenue,San Jose,Santa Clara,2225000,3,2246,2,0,7785,86,CA,37.3265297,-121.922222,500500,5732,126995,84,75,1038,4.7
1293 Hillcrest Drive,San Jose,Santa Clara,3000000,4,2862,2,1,13936,55,CA,37.2112024,-121.8719601,511910,3106,185000,14,20,1038,7.3
1749 Hudson Drive,San Jose,Santa Clara,2512000,4,1622,2,0,6996,60,CA,37.276999,-121.9135762,502902,9023,155000,35,55,1040,5.3
932 Pine Avenue,San Jose,Santa Clara,2425000,5,2622,3,0,7436,23,CA,37.3000429,-121.8891019,502500,6760,181563,51,60,1040,5.5
1531 Montalban Drive,San Jose,Santa Clara,2250000,4,2013,2,1,8014,54,CA,37.2251228,-121.897683,511913,4288,216250,19,34,1040,7.8
1645 Arizona Avenue,Milpitas,Santa Clara,1461688,3,1404,3,0,7592,64,CA,37.4553549,-121.9070858,504422,3259,118438,76,71,1041,6.8
1081 S Daniel Way,San Jose,Santa Clara,1925000,3,1950,2,1,6900,62,CA,37.3075124,-121.9417337,506402,5714,91667,37,59,1042,5
1284 Pembridge Drive,San Jose,Santa Clara,1500000,3,1581,2,1,7133,62,CA,37.2703662,-121.8835217,503003,5259,153438,48,57,1044,5.4
2412 Stokes Street,San Jose,Santa Clara,1630000,3,1178,2,0,6036,66,CA,37.3011306,-121.9358895,502101,5309,112500,64,74,1045,4.4
382 Henderson Drive,San Jose,Santa Clara,1120000,2,930,1,0,6955,54,CA,37.2385014,-121.8136223,512036,4713,136250,28,50,1048,6.4
3113 Silbury Court,San Jose,Santa Clara,2100000,3,2304,2,1,5675,38,CA,37.3169373,-121.7855434,503326,7743,176471,31,64,1050,7.7
1140 Crescent Drive,San Jose,Santa Clara,2550000,3,2820,3,0,6056,81,CA,37.3087441,-121.9034626,502302,3524,104777,89,76,1050,5.3
1417 Norman Drive,Sunnyvale,Santa Clara,2450000,5,2000,5,0,9300,71,CA,37.3478976,-122.010375,508205,3663,158899,79,70,1050,6
625 Kiowa Circle,San Jose,Santa Clara,1388800,4,1503,2,0,5916,55,CA,37.2380631,-121.8358668,512045,5217,155591,72,63,1051,6.6
6469 Camelia Drive,San Jose,Santa Clara,3000000,4,2844,3,0,8877,60,CA,37.2203001,-121.8727605,511910,3106,185000,45,45,1051,7.2
1341 Duke Way,San Jose,Santa Clara,2300000,3,2316,2,1,8132,59,CA,37.2935523,-121.9007729,502500,6760,181563,37,57,1052,6.3
343 Mayellen Avenue,San Jose,Santa Clara,1320000,2,1026,1,0,6570,97,CA,37.3225354,-121.9207551,502002,5963,84125,87,77,1053,4.7
1533 Puerto Vallarta Drive,San Jose,Santa Clara,1900000,4,1692,2,0,7918,57,CA,37.22643,-121.8989723,511913,4288,216250,25,45,1053,7.8
1352 Carrie Lee Way,San Jose,Santa Clara,1720000,3,1370,2,0,8264,0,CA,37.2682517,-121.885367,503003,5259,153438,38,59,1053,4.8
2114 Stratton Place,San Jose,Santa Clara,1185000,3,1041,2,0,6479,46,CA,37.3879177,-121.872427,504316,5513,139107,38,50,1054,7
3216 Tenley Drive,San Jose,Santa Clara,1640000,3,1544,2,1,4512,39,CA,37.3171089,-121.7879912,503326,7743,176471,66,68,1055,6.7
1456 Shaffer Drive,San Jose,Santa Clara,1337000,4,1614,2,0,6500,58,CA,37.4059453,-121.8527696,504314,4978,127083,30,48,1058,5.8
991 Edenbury Lane,San Jose,Santa Clara,1550000,3,1486,2,0,5871,54,CA,37.2715312,-121.8736722,512005,6965,152569,37,54,1060,4.8
1510 Puerto Vallarta Drive,San Jose,Santa Clara,2150000,3,1866,2,1,7950,57,CA,37.2273835,-121.8975496,511913,4288,216250,24,47,1060,7.7
3134 Gardendale Drive,San Jose,Santa Clara,1420000,4,1248,2,0,6371,66,CA,37.2746107,-121.8824767,503002,3747,133500,68,69,1061,5
1173 Old Oak Drive,San Jose,Santa Clara,2650000,4,2392,3,0,8310,57,CA,37.2159106,-121.863844,511905,2959,179583,64,54,1061,7.3
3188 Woodcrest Drive,San Jose,Santa Clara,1725000,3,1460,2,0,5981,62,CA,37.2724598,-121.8870788,503003,5259,153438,59,65,1063,5.4
4096 Beebe Circle,San Jose,Santa Clara,2660000,4,2227,2,1,9549,48,CA,37.3099756,-121.7744612,503329,3855,204073,56,52,1064,7.8
2263 Woodard Road,San Jose,Santa Clara,2380000,4,2515,3,1,5891,12,CA,37.260445,-121.9414004,502703,3811,136964,68,70,1065,6.8
111 George Court,Campbell,Santa Clara,1650000,4,1965,2,1,2606,13,CA,37.2841774,-121.944578,506502,4199,108571,88,77,1067,5.8
1140 Camino Pablo ,San Jose,Santa Clara,4200000,5,3637,4,1,6773,6,CA,37.3049879,-121.9067079,502301,3384,148274,63,75,1067,6.2
1059 Peony Dr ,Milpitas,Santa Clara,2803000,4,3055,3,1,3859,1,CA,37.4499489,-121.8895437,504424,4972,134890,48,60,1068,6.6
3285 Woodmont Drive,San Jose,Santa Clara,1550000,3,1460,2,0,6039,62,CA,37.2717436,-121.8864564,503003,5259,153438,59,65,1068,5.4
2159 Avenida De Las Flores ,Santa Clara,Santa Clara,1550000,3,1341,2,0,8782,46,CA,37.4030334,-121.9630638,505011,5436,158472,49,73,1068,6.2
7072 Hollow Lake Way,San Jose,Santa Clara,3620000,4,3473,3,1,24253,23,CA,37.2017476,-121.8552381,511917,4163,191091,10,5,1069,7.5
807 Miller Avenue,Campbell,Santa Clara,3600360,5,3362,3,0,9649,26,CA,37.2672503,-121.9766151,506701,4177,164115,37,63,1070,7
3475 Kenyon Drive,Santa Clara,Santa Clara,1750000,5,1902,3,0,6262,61,CA,37.334877,-121.9925191,506101,4175,129420,70,76,1071,5.4
14918 Leigh Avenue,San Jose,Santa Clara,3125000,5,3558,3,0,10184,33,CA,37.252025,-121.9217775,502800,4442,155385,29,43,1071,7.8
1928 Meridian Avenue,San Jose,Santa Clara,1800000,4,2833,3,1,5331,36,CA,37.2886691,-121.9123427,502601,3281,122405,15,45,1073,6
1367 York Avenue,Campbell,Santa Clara,2160000,3,1841,2,0,6217,102,CA,37.2671547,-121.97837,506701,4177,164115,28,64,1073,7
417 Fenley Avenue,San Jose,Santa Clara,1750000,3,960,1,0,9629,72,CA,37.3205494,-121.9566207,506301,5342,99476,55,76,1074,5
1475 York Avenue,Campbell,Santa Clara,2580000,4,2345,3,0,11761,26,CA,37.2655219,-121.9778924,506701,4177,164115,53,64,1074,7
241 Spring Valley Lane,Milpitas,Santa Clara,1500000,3,1242,2,0,6392,52,CA,37.4406506,-121.8751396,504412,4956,110132,39,59,1075,6.6
1849 Forest Court,Milpitas,Santa Clara,1150000,3,1215,2,0,3151,57,CA,37.4039933,-121.907886,504505,9319,164479,34,56,1076,5
1050 Lois Avenue,Sunnyvale,Santa Clara,2596950,6,2411,2,1,5952,69,CA,37.36117,-122.0544692,508401,7695,170000,26,78,1077,8
1342 Lansing Avenue,San Jose,Santa Clara,1300000,4,1408,2,0,6075,58,CA,37.253123,-121.8855671,502909,5170,101679,41,51,1078,4.3
1570 Calle De Aida ,San Jose,Santa Clara,1999999,5,2145,2,1,6221,47,CA,37.258808,-121.8987945,502907,3960,150250,74,66,1078,7.7
864 Kizer St ,Milpitas,Santa Clara,2000000,4,2307,3,0,6300,51,CA,37.4502985,-121.8955044,504421,5707,142050,51,64,1078,6.8
964 Summerleaf Drive,San Jose,Santa Clara,2400000,5,2197,3,0,8055,53,CA,37.2187843,-121.8484552,511907,4303,201558,17,61,1078,7.5
712 Salvatierra Street,Stanford,Santa Clara,2425000,3,1857,2,0,14655,93,CA,37.4184958,-122.1632738,511502,3178,250001,50,80,1080,7.8
4940 Carter Avenue,San Jose,Santa Clara,1610000,3,1504,2,0,6073,56,CA,37.2495506,-121.9073303,502906,4912,110236,45,41,1081,7.7
685 Margaret Lane,Campbell,Santa Clara,2208000,4,1963,3,0,8606,74,CA,37.2768422,-121.9723499,506701,4177,164115,23,50,1082,6.8
1421 Bouret Drive,San Jose,Santa Clara,1440000,3,1080,2,0,11400,59,CA,37.2543287,-121.8911472,502909,5170,101679,60,52,1084,4.3
397 Henderson Drive,San Jose,Santa Clara,1530000,3,1255,2,0,5922,54,CA,37.239004,-121.8150906,512036,4713,136250,24,51,1085,6
1065 Bennett Way,San Jose,Santa Clara,2390000,4,2586,2,2,5712,85,CA,37.2950998,-121.8900357,502500,6760,181563,70,67,1086,5.5
4121 Ashbrook Circle,San Jose,Santa Clara,2505000,4,2161,2,1,6006,46,CA,37.2557103,-121.9459556,502704,4042,175603,47,51,1088,6.8
6024 Pineland Avenue,San Jose,Santa Clara,1560000,4,1495,2,0,6077,51,CA,37.2396281,-121.8257239,512037,3099,144957,60,63,1089,6.5
6633 Neptune Court,San Jose,Santa Clara,2450000,4,1986,2,1,7133,43,CA,37.2183467,-121.8804758,511918,3200,236964,24,40,1091,7.2
1242 Spaich Drive,San Jose,Santa Clara,2400000,4,2532,2,1,6036,42,CA,37.3026008,-121.9618196,506302,6349,143376,38,64,1094,5.8
1834 Graham Lane,Santa Clara,Santa Clara,1900000,4,2221,3,0,7559,70,CA,37.3564047,-121.9681735,505303,6414,104438,75,82,1097,5.2
1623 Husted Avenue,San Jose,Santa Clara,2350000,4,1791,3,0,6575,61,CA,37.2783771,-121.902529,502903,5220,184615,39,51,1098,5.2
6498 Mojave Drive,San Jose,Santa Clara,2500000,4,2173,2,0,9003,56,CA,37.2241645,-121.8756955,511914,6393,214063,42,57,1098,7
2497 Pilot Knob Drive,Santa Clara,Santa Clara,2010000,3,1629,3,0,5669,2,CA,37.3674947,-121.9772371,505301,4548,136087,42,68,1099,5.2
714 Calero Street,Milpitas,Santa Clara,1465000,3,1277,2,0,6176,62,CA,37.438228,-121.9091974,504507,5871,118000,60,76,1100,7
2592 Lansford Avenue,San Jose,Santa Clara,2050000,3,1640,3,0,8059,68,CA,37.2801409,-121.8908804,503001,4297,152500,58,72,1100,6.4
1148 Holly Ann Place,San Jose,Santa Clara,2350000,4,1911,2,0,10787,48,CA,37.211206,-121.8571061,511905,2959,179583,27,19,1102,7.3
1286 Lennon Way,San Jose,Santa Clara,1900000,3,1687,2,0,6882,73,CA,37.2916629,-121.8957267,502500,6760,181563,42,67,1105,6.6
1742 Hudson Drive,San Jose,Santa Clara,2060000,3,1330,2,0,6076,60,CA,37.2768861,-121.9128871,502902,9023,155000,9,56,1106,5.3
1624 Blue Spruce Way,Milpitas,Santa Clara,1430000,3,1363,2,0,5271,57,CA,37.4070531,-121.9088863,504505,9319,164479,28,57,1107,5
1592 Fallen Leaf Drive,Milpitas,Santa Clara,2269000,4,2382,2,1,11068,53,CA,37.407496,-121.9046629,504505,9319,164479,51,68,1107,5
833 Apple Valley Drive,San Jose,Santa Clara,1450000,3,1270,2,0,6287,62,CA,37.2891424,-121.8761624,503124,5577,84117,52,58,1109,6.2
837 Apple Valley Drive,San Jose,Santa Clara,1420000,3,1270,2,0,6399,62,CA,37.2892904,-121.8762958,503124,5577,84117,48,68,1109,6.2
3216 Oriole Drive,San Jose,Santa Clara,2250000,4,2115,2,0,11983,0,CA,37.3044862,-121.953488,506302,6349,143376,54,67,1109,5.8
2510 Pioneer Avenue,San Jose,Santa Clara,1500000,3,1519,2,0,5199,75,CA,37.3192356,-121.9378672,502001,5089,102198,48,59,1110,4.8
2671 Hill Park Drive,San Jose,Santa Clara,2100000,5,2451,2,1,6796,59,CA,37.2736967,-121.9145541,502902,9023,155000,50,60,1110,7.3
5845 Antigua Drive,San Jose,Santa Clara,1965000,4,1870,2,0,8978,52,CA,37.2419007,-121.8788749,511914,6393,214063,31,61,1112,5.3
1445 Jeffery Avenue,San Jose,Santa Clara,1300000,3,1373,2,0,5301,67,CA,37.2742443,-121.8924811,503002,3747,133500,67,69,1114,5
4786 Calle De Lucia ,San Jose,Santa Clara,2005000,4,1780,2,0,5998,0,CA,37.2553288,-121.8997948,502908,6617,126917,80,63,1114,7.7
3707 Cefalu Drive,San Jose,Santa Clara,2580000,4,1924,2,0,6120,61,CA,37.2634156,-121.9061967,502908,6617,126917,52,50,1114,5.3
1747 Cottle Avenue,San Jose,Santa Clara,1810000,3,1807,2,1,8250,71,CA,37.2949653,-121.8988834,502500,6760,181563,37,59,1114,6.3
1352 Bent Drive,Campbell,Santa Clara,2300000,3,1619,2,0,9310,66,CA,37.2829382,-121.9254223,502603,2858,164375,53,61,1114,6.8
503 Paiute Lane,San Jose,Santa Clara,1300000,3,1208,2,0,6288,57,CA,37.2451068,-121.8327083,512045,5217,155591,61,57,1115,6.4
1456 Kinsport Lane,San Jose,Santa Clara,2500000,4,2033,2,1,8163,51,CA,37.2304483,-121.8902135,511913,4288,216250,49,59,1115,7.2
1442 Hoffman Lane,Campbell,Santa Clara,1820000,4,2340,2,1,4479,17,CA,37.265341,-121.945347,502703,3811,136964,65,87,1117,6.8
3638 Gavota Avenue,San Jose,Santa Clara,1720000,3,1319,2,0,6115,65,CA,37.2637412,-121.9076193,502908,6617,126917,55,53,1117,7.5
15770 Shannon Heights Road,Los Gatos,Santa Clara,5500000,5,4096,4,0,50965,29,CA,37.226428,-121.9446891,506900,7720,171375,4,9,1118,9
2744 Lansford Avenue,San Jose,Santa Clara,2500000,4,2436,2,1,8549,68,CA,37.278448,-121.8901913,503002,3747,133500,66,70,1119,6.2
1659 Kirk Court,San Jose,Santa Clara,2070000,4,2246,2,1,5320,32,CA,37.258042,-121.9058633,502908,6617,126917,54,49,1122,7.7
1715 Civic Center Drive,Santa Clara,Santa Clara,1520000,3,1731,2,1,1885,43,CA,37.354951,-121.957026,505202,6998,93728,62,72,1123,4.8
1396 Fallen Leaf Drive,Milpitas,Santa Clara,1815000,3,1688,2,0,6430,54,CA,37.41042,-121.9042406,504505,9319,164479,56,77,1124,5
1128 Calboro Drive,San Jose,Santa Clara,2400000,4,2329,3,1,7425,63,CA,37.3060777,-121.9581316,506302,6349,143376,50,58,1124,5.8
156 Washington Drive,Milpitas,Santa Clara,1630000,4,1358,2,0,6015,58,CA,37.4530464,-121.9074637,504421,5707,142050,64,72,1125,6.8
2159 Laurelei Avenue,San Jose,Santa Clara,1200000,3,1120,1,0,6431,72,CA,37.3313194,-121.9394227,500500,5732,126995,36,71,1125,4.7
1001 Shadow Brook Drive,San Jose,Santa Clara,2375000,4,2029,2,0,8145,53,CA,37.2155662,-121.8472542,511907,4303,201558,38,60,1128,7.5
3514 Williams Road,San Jose,Santa Clara,1470000,3,1498,2,0,6260,63,CA,37.308523,-121.9599978,506302,6349,143376,46,63,1129,5.8
430 Morse Avenue,Sunnyvale,Santa Clara,1650000,4,1320,3,0,7089,0,CA,37.3850094,-122.0217444,508800,3850,123917,73,79,1130,5.5
1275 Britton Avenue,San Jose,Santa Clara,2100000,2,1578,1,0,6172,73,CA,37.3041074,-121.9061967,502301,3384,148274,54,72,1132,6.2
1411 Blackstone Avenue,San Jose,Santa Clara,2400000,5,2363,2,0,7594,51,CA,37.2734244,-121.8899467,503002,3747,133500,67,70,1132,5
2046 Redbush Terrace,San Jose,Santa Clara,1820000,2,1459,2,0,5997,74,CA,37.3363309,-121.9380005,505800,4457,126250,62,81,1134,4.3
1497 Portobelo Dr ,San Jose,Santa Clara,2100000,3,1579,2,0,7035,55,CA,37.2540873,-121.8969716,502909,5170,101679,78,64,1135,7.7
1437 Pinehurst Drive,San Jose,Santa Clara,1845000,4,1474,2,0,6005,58,CA,37.2638533,-121.8901246,503003,5259,153438,41,63,1136,4.8
230 S Midway Street,Campbell,Santa Clara,2620000,3,2444,2,0,12196,70,CA,37.2834378,-121.9268891,502603,2858,164375,67,63,1136,6.5
1116 Steinway Avenue,Campbell,Santa Clara,2650000,4,2175,3,0,7874,62,CA,37.2668552,-121.9689288,506703,3480,116625,34,63,1137,6.6
1572 Willowbrook Drive,San Jose,Santa Clara,1470000,3,1180,2,0,5800,63,CA,37.2645654,-121.8994169,502907,3960,150250,39,50,1139,5.3
3928 Jarvis Avenue,San Jose,Santa Clara,1375000,4,1474,2,0,6679,58,CA,37.2646199,-121.8921476,503003,5259,153438,46,63,1139,4.8
6025 Meridian Avenue,San Jose,Santa Clara,1850000,4,2024,2,1,8680,49,CA,37.2313138,-121.8844999,511913,4288,216250,69,68,1141,6
1451 Corte De Rosa ,San Jose,Santa Clara,2638000,4,1900,2,1,22722,46,CA,37.2228992,-121.891414,511913,4288,216250,18,19,1143,7
700 Vasona Street,Milpitas,Santa Clara,1315000,3,1277,2,0,6231,62,CA,37.4379875,-121.9099976,504507,5871,118000,60,76,1145,7
591 S Taaffe Street,Sunnyvale,Santa Clara,1950000,4,1960,2,1,4900,82,CA,37.3692265,-122.035244,508602,5153,143029,91,91,1146,7
1494 Medallion Drive,San Jose,Santa Clara,1825000,3,1477,2,0,8449,51,CA,37.2291899,-121.8911472,511913,4288,216250,53,55,1146,7.2
1522 San Joaquin Avenue,San Jose,Santa Clara,1550000,3,1214,2,0,5915,68,CA,37.2712862,-121.8973273,502903,5220,184615,59,57,1147,4.8
1569 Alisal Avenue,San Jose,Santa Clara,2550000,5,2232,3,0,6595,59,CA,37.2739298,-121.9002394,502903,5220,184615,55,57,1147,4.8
1248 Willowhaven Drive,San Jose,Santa Clara,1455000,2,1142,2,0,3621,44,CA,37.3053262,-121.9183548,502203,4214,117941,70,82,1148,5
145 Central Avenue,Los Gatos,Santa Clara,3512000,4,3428,3,1,6600,77,CA,37.2148349,-121.9771926,507003,3088,215000,24,22,1148,9
1528 Grace Avenue,San Jose,Santa Clara,2360000,3,1706,2,0,8368,67,CA,37.2971375,-121.9186437,502202,2802,101071,59,70,1148,4.3
1550 Grace Avenue,San Jose,Santa Clara,1999999,3,1443,2,0,8375,67,CA,37.2966111,-121.9186437,502202,2802,101071,53,67,1148,4.3
3618 Pyramid Way ,Mountain View,Santa Clara,2040000,3,1776,3,1,1425,4,CA,37.3925247,-122.0568212,509109,5885,188191,39,86,1149,7
540 Sunnymount Avenue,Sunnyvale,Santa Clara,3700000,4,3092,3,0,8850,73,CA,37.3595909,-122.0340895,508404,6352,174457,65,88,1151,6.3
336 N Whisman Road,Mountain View,Santa Clara,2550000,3,1740,2,0,6900,66,CA,37.3983889,-122.0594421,509108,4146,129572,56,92,1152,7.3
3364 Thompson Avenue,San Jose,Santa Clara,1903364,3,1718,2,1,6420,62,CA,37.2688598,-121.894882,502907,3960,150250,52,56,1153,5.3
1002 Brackett Way,Santa Clara,Santa Clara,2700000,3,2331,2,1,3702,19,CA,37.3994812,-121.9514216,504902,4709,185000,51,77,1154,5.2
774 Lakewood Drive,Sunnyvale,Santa Clara,1240000,3,1108,2,0,6307,65,CA,37.3936539,-122.0029132,504806,2972,113977,45,72,1156,5.4
1725 Hallmark Lane,San Jose,Santa Clara,1630000,3,1695,2,1,7040,64,CA,37.2620379,-121.9095975,502908,6617,126917,59,48,1156,7.5
253 E Rincon Avenue,Campbell,Santa Clara,1830000,2,1181,2,0,7366,114,CA,37.2850649,-121.9453779,506502,4199,108571,90,86,1156,5.4
786 Lakemuir Drive,Sunnyvale,Santa Clara,1810000,3,1108,2,0,7700,65,CA,37.394285,-122.0020026,504806,2972,113977,54,76,1156,5.4
1470 Hauck Drive,San Jose,Santa Clara,1483000,3,1202,2,0,6259,63,CA,37.2689145,-121.8918142,503003,5259,153438,43,54,1159,5.3
1171 Greenbriar Avenue,San Jose,Santa Clara,1710000,3,1463,2,0,5812,66,CA,37.304793,-121.9464667,506402,5714,91667,70,73,1160,5
3311 Tracy Drive,Santa Clara,Santa Clara,2750000,5,2340,3,0,6282,65,CA,37.33043,-121.9906978,506103,5255,142429,51,68,1160,8
1399 Beattie Court,San Jose,Santa Clara,2585000,5,2228,3,0,9831,47,CA,37.2338473,-121.8874123,511913,4288,216250,52,59,1160,5.3
10366 Heney Creek Place,Cupertino,Santa Clara,3388000,4,3284,3,0,10411,43,CA,37.3265394,-122.0697626,507704,3352,113714,29,54,1161,8.7
2053 Kimberlin Place,Santa Clara,Santa Clara,1870000,3,1935,3,0,2748,29,CA,37.3589875,-121.9854114,505305,5831,154173,52,72,1162,5.4
1075 Lincoln Street,Santa Clara,Santa Clara,1760000,3,1138,1,1,7537,1,CA,37.3479914,-121.9518216,505700,6389,117500,85,90,1162,4.8
866 Stonehurst Way,Campbell,Santa Clara,2120000,3,1416,2,0,9368,71,CA,37.2747628,-121.9392449,502701,5665,120667,72,83,1163,6.8
3299 Kirk Road,San Jose,Santa Clara,1500000,3,1160,2,0,6073,66,CA,37.2662095,-121.9084195,502908,6617,126917,74,59,1165,7.4
3793 Justine Drive,San Jose,Santa Clara,1810000,3,1357,2,0,7020,63,CA,37.2608423,-121.9140207,502908,6617,126917,76,58,1165,7.2
1219 Ravenscourt Ave ,San Jose,Santa Clara,1650000,3,1350,2,0,5959,61,CA,37.3031518,-121.9397338,502101,5309,112500,41,62,1167,4.4
14790 Manuella Road,Los Altos Hills,Santa Clara,12000000,5,10266,8,1,47916,15,CA,37.391571,-122.1313582,511701,4249,217813,8,45,1169,8.4
